dateTime,activities-minutesSedentary,RestHeart,activities-minutesVeryActive,activities-floors,activities-steps,sleep-minutesAsleep,sleep-awakeningsCount,sleep-minutesAwake,sleep-startTime
2017-06-25,652,59,0,9,6219,445,0,55,00:15
2017-06-26,663,58,0,4,6010,421,0,71,22:59
2017-06-27,715,58,0,5,5871,374,0,63,23:43
2017-06-28,702,58,0,1,4636,444,0,55,22:47
2017-06-29,728,57,0,3,7161,395,0,54,23:35
2017-06-30,781,57,0,4,6336,390,0,0,00:30
2017-07-01,673,60,7,3,6750,411,0,42,00:31
2017-07-02,391,59,0,3,3472,542,0,66,22:57
2017-07-03,455,58,0,7,6937,569,0,132,19:28
2017-07-04,556,58,7,8,12994,401,0,53,00:08
2017-07-05,755,60,36,13,10535,393,0,51,23:36
2017-07-06,774,58,1,3,5068,409,0,49,23:36
2017-07-07,695,59,14,9,9940,388,0,68,23:35
2017-07-08,734,59,6,5,9994,323,8,0,23:59
2017-07-09,828,58,0,9,6416,321,8,17,23:59
2017-07-10,785,57,41,16,10931,341,0,47,01:01
2017-07-11,715,58,18,8,11153,376,0,57,00:05
2017-07-12,623,58,0,3,7148,422,0,79,00:31
2017-07-13,769,58,24,7,8129,360,0,68,00:24
2017-07-14,600,58,26,20,15611,380,0,54,00:03
2017-07-15,498,60,23,6,11146,466,17,41,00:15
2017-07-16,658,59,19,0,12742,348,0,48,00:36
2017-07-17,686,59,0,1,12828,379,0,44,00:48
2017-07-18,703,59,10,0,11257,393,0,40,01:06
2017-07-19,1133,59,42,1,12494,0,0,0,
2017-07-20,632,60,22,1,15464,334,0,74,01:48
2017-07-21,640,61,8,0,14707,377,0,50,01:03
2017-07-22,586,61,106,3,24599,310,0,42,02:58
2017-07-23,624,61,5,14,11990,421,0,0,23:59
2017-07-24,760,61,5,6,5937,405,9,14,00:59
2017-07-25,715,61,5,30,7900,502,4,6,22:55
2017-07-26,1021,60,34,108,9035,0,0,0,
2017-07-27,650,58,33,122,15065,516,29,84,21:20
2017-07-28,979,59,71,161,23214,0,0,0,
2017-07-29,376,60,23,42,21896,402,0,59,23:22
2017-07-30,707,61,0,29,8552,243,0,23,23:25
2017-07-31,616,61,16,38,13157,475,23,46,23:06
2017-08-01,487,61,33,88,17499,469,0,85,23:09
2017-08-02,753,60,0,46,12335,461,0,72,23:05
2017-08-03,817,61,2,7,5447,466,18,27,23:16
2017-08-04,1014,60,11,5,12068,0,0,0,
2017-08-05,1079,59,11,6,12009,0,0,0,
2017-08-06,642,59,2,0,10554,479,10,12,00:30
2017-08-07,690,59,18,1,10036,420,0,48,01:04
2017-08-08,504,60,44,0,17103,448,0,60,00:20
2017-08-09,555,60,10,1,12521,450,0,51,00:35
2017-08-10,607,60,11,1,14060,382,0,53,01:14
2017-08-11,518,61,39,0,17276,467,0,80,23:55
2017-08-12,625,64,106,3,23023,243,0,24,03:23
2017-08-13,1035,64,40,15,16779,0,0,0,
2017-08-14,524,63,33,11,15964,425,0,70,00:42
2017-08-15,668,61,0,10,6634,440,0,53,00:03
2017-08-16,709,60,34,12,8765,473,0,60,22:58
2017-08-17,767,60,46,12,10468,382,0,62,00:25
2017-08-18,755,59,0,1,4141,411,0,69,23:36
2017-08-19,569,59,6,30,10081,430,0,57,00:21
2017-08-20,690,60,3,5,5991,476,0,66,23:24
2017-08-21,742,60,17,10,7470,381,0,53,23:56
2017-08-22,725,61,1,4,6926,444,7,11,23:29
2017-08-23,618,62,74,26,20458,366,0,36,00:34
2017-08-24,702,61,58,14,15468,361,0,49,00:30
2017-08-25,804,61,2,2,5385,349,0,44,00:39
2017-08-26,1145,62,0,5,8302,0,0,0,
2017-08-27,646,62,3,4,8262,464,0,70,23:49
2017-08-28,788,63,2,9,7567,329,0,51,00:57
2017-08-29,560,62,1,8,8609,417,0,65,23:12
2017-08-30,628,61,50,10,12451,476,0,63,22:24
2017-08-31,811,62,11,11,6713,346,0,71,00:16
2017-09-01,798,61,0,3,3717,409,0,68,23:18
2017-09-02,694,61,7,4,5633,384,0,61,23:05
2017-09-03,601,60,39,11,12141,471,23,48,23:27
2017-09-04,772,61,49,12,12688,374,14,27,00:17
2017-09-05,617,60,0,3,7913,451,0,64,22:55
2017-09-06,736,59,18,18,10424,444,8,18,23:34
2017-09-07,792,58,4,3,6844,368,0,55,00:06
2017-09-08,793,57,1,4,5405,400,0,54,23:31
2017-09-09,730,57,5,3,7753,381,0,67,23:30
2017-09-10,1267,58,0,2,4259,0,0,0,
2017-09-11,672,60,23,22,9264,444,0,71,22:48
2017-09-12,720,58,0,9,7399,368,0,57,00:11
2017-09-13,840,59,20,30,8841,334,0,35,00:11
2017-09-14,806,59,9,6,7440,372,0,78,23:40
2017-09-15,1372,59,0,1,1220,0,0,0,
2017-09-16,551,59,7,2,9436,451,0,55,22:38
2017-09-17,480,57,5,7,11059,475,0,74,22:55
2017-09-18,767,59,0,1,2059,432,0,67,22:54
2017-09-19,536,60,0,3,5783,522,0,84,21:05
2017-09-20,728,61,22,12,9284,445,19,32,23:14
2017-09-21,685,61,0,8,7175,470,0,65,22:21
2017-09-22,693,59,0,5,5767,454,0,50,22:57
2017-09-23,728,60,3,2,6609,408,15,37,23:46
2017-09-24,668,59,12,9,10896,440,11,17,23:37
2017-09-25,772,60,0,14,6009,424,0,39,23:34
2017-09-26,621,62,0,5,8573,369,0,73,23:56
2017-09-27,699,61,32,12,9762,433,0,52,23:11
2017-09-28,690,59,15,11,10071,429,0,70,22:58
2017-09-29,747,59,14,6,8613,351,0,58,00:28
