Days,Years,Months,date,activities-minutesSedentary,activities-minutesVeryActive,activities-floors,sleep-minutesAsleep,activities-steps,sleep-awakeningsCount,RestHeart
Wednesday,2017,August,2017-08-02,753,0,46,461,12335,0,60
Thursday,2017,August,2017-08-03,817,2,7,466,5447,18,61
Friday,2017,August,2017-08-04,1014,11,5,0,12068,0,60
Saturday,2017,August,2017-08-05,1079,11,6,0,12009,0,59
Sunday,2017,August,2017-08-06,642,2,0,479,10554,10,59
Monday,2017,August,2017-08-07,690,18,1,420,10036,0,59
Tuesday,2017,August,2017-08-08,504,44,0,448,17103,0,60
Wednesday,2017,August,2017-08-09,555,10,1,450,12521,0,60
Thursday,2017,August,2017-08-10,607,11,1,382,14060,0,60
Friday,2017,August,2017-08-11,518,39,0,467,17276,0,61
Saturday,2017,August,2017-08-12,625,106,3,243,23023,0,64
Sunday,2017,August,2017-08-13,1035,40,15,0,16779,0,64
Monday,2017,August,2017-08-14,524,33,11,425,15964,0,63
Tuesday,2017,August,2017-08-15,668,0,10,440,6634,0,61
Wednesday,2017,August,2017-08-16,709,34,12,473,8765,0,60
Thursday,2017,August,2017-08-17,767,46,12,382,10468,0,60
Friday,2017,August,2017-08-18,755,0,1,411,4141,0,59
Saturday,2017,August,2017-08-19,569,6,30,430,10081,0,59
Sunday,2017,August,2017-08-20,690,3,5,476,5991,0,60
Monday,2017,August,2017-08-21,742,17,10,381,7470,0,60
Tuesday,2017,August,2017-08-22,725,1,4,444,6926,7,61
Wednesday,2017,August,2017-08-23,618,74,26,366,20458,0,62
Thursday,2017,August,2017-08-24,702,58,14,361,15468,0,61
Friday,2017,August,2017-08-25,804,2,2,349,5385,0,61
Saturday,2017,August,2017-08-26,1145,0,5,0,8302,0,62
Sunday,2017,August,2017-08-27,646,3,4,464,8262,0,62
Monday,2017,August,2017-08-28,788,2,9,329,7567,0,63
Tuesday,2017,August,2017-08-29,560,1,8,417,8609,0,62
Wednesday,2017,August,2017-08-30,628,50,10,476,12451,0,61
Thursday,2017,August,2017-08-31,811,11,11,346,6713,0,62
Friday,2017,September,2017-09-01,798,0,3,409,3717,0,61
Saturday,2017,September,2017-09-02,694,7,4,384,5633,0,61
Sunday,2017,September,2017-09-03,601,39,11,471,12141,23,60
Monday,2017,September,2017-09-04,772,49,12,374,12688,14,61
Tuesday,2017,September,2017-09-05,617,0,3,451,7913,0,60
Wednesday,2017,September,2017-09-06,736,18,18,444,10424,8,59
Thursday,2017,September,2017-09-07,792,4,3,368,6844,0,58
Friday,2017,September,2017-09-08,793,1,4,400,5405,0,57
Saturday,2017,September,2017-09-09,730,5,3,381,7753,0,57
Sunday,2017,September,2017-09-10,1267,0,2,0,4259,0,58
Monday,2017,September,2017-09-11,672,23,22,444,9264,0,60
Tuesday,2017,September,2017-09-12,720,0,9,368,7399,0,58
Wednesday,2017,September,2017-09-13,840,20,30,334,8841,0,59
Thursday,2017,September,2017-09-14,806,9,6,372,7440,0,59
Friday,2017,September,2017-09-15,1372,0,1,0,1220,0,59
Saturday,2017,September,2017-09-16,551,7,2,451,9436,0,59
Sunday,2017,September,2017-09-17,480,5,7,475,11059,0,57
Monday,2017,September,2017-09-18,767,0,1,432,2059,0,59
Tuesday,2017,September,2017-09-19,536,0,3,522,5783,0,60
Wednesday,2017,September,2017-09-20,728,22,12,445,9284,19,61
Thursday,2017,September,2017-09-21,685,0,8,470,7175,0,61
Friday,2017,September,2017-09-22,693,0,5,454,5767,0,59
Saturday,2017,September,2017-09-23,728,3,2,408,6609,15,60
Sunday,2017,September,2017-09-24,668,12,9,440,10896,11,59
Monday,2017,September,2017-09-25,772,0,14,424,6009,0,60
Tuesday,2017,September,2017-09-26,621,0,5,369,8573,0,62
Wednesday,2017,September,2017-09-27,699,32,12,433,9762,0,61
Thursday,2017,September,2017-09-28,690,15,11,429,10071,0,59
Friday,2017,September,2017-09-29,747,14,6,351,8613,0,59
Saturday,2017,September,2017-09-30,1063,11,7,0,11932,0,58
Sunday,2017,October,2017-10-01,327,0,4,453,3760,10,59
Monday,2017,October,2017-10-02,643,5,12,493,7129,0,58
Tuesday,2017,October,2017-10-03,617,0,4,457,8128,0,58
Wednesday,2017,October,2017-10-04,1168,30,8,0,11510,0,58
Thursday,2017,October,2017-10-05,742,10,12,400,7756,0,59
Friday,2017,October,2017-10-06,720,0,4,426,6039,0,58
Saturday,2017,October,2017-10-07,639,1,3,402,8440,0,57
Sunday,2017,October,2017-10-08,774,42,11,300,12186,0,57
Monday,2017,October,2017-10-09,733,11,16,410,8007,0,57
Tuesday,2017,October,2017-10-10,667,0,4,423,7201,0,57
Wednesday,2017,October,2017-10-11,657,55,14,418,12834,0,57
Thursday,2017,October,2017-10-12,1135,34,14,0,13396,0,57
Friday,2017,October,2017-10-13,632,27,9,399,11622,0,57
Saturday,2017,October,2017-10-14,615,7,3,409,11336,0,57
Sunday,2017,October,2017-10-15,1066,28,19,0,15807,0,57
